id,名称,别名(释名),气味,主治,附方,生长,考释
170,茵芋,,味苦温,主治五脏邪气，心腹寒热羸瘦，如疟状发作有时，诸关节风湿痹痛,,川谷,
171,射干,乌扇/乌蒲,味苦平,主治咳逆上气，喉痹咽痛不得消息，散结气，腹中邪逆，食饮大热,,川谷,
172,鸢尾,,味苦平,主治蛊毒邪气，鬼注诸毒，破癥瘕积聚，去水，下三虫,,山谷,
173,贯众,贯节/贯渠/百头/虎卷/扁苻,味苦微寒有毒,主治腹中邪熱氣，诸毒，杀三虫,,山谷,
174,飞廉,飞轻,味苦平,主治骨节热，胫重酸疼。久服令人身轻,,川泽,
175,半夏,地文/水玉,味辛平,主治伤寒寒热，心下坚，下气，喉咽肿痛，头眩胸胀，咳逆肠鸣，止汗,,川谷,
176,虎掌,,味苦温无毒,主治心痛，寒热，结气，积聚伏梁，伤筋痿拘缓，利水道,,山谷,
177,莨荡子,横唐,味苦寒,主治齿痛，出虫，肉痹拘急，使人健行，见鬼，多食令人狂走。久服轻身。走及奔马，强志，益力，通神,,川谷,
178,蜀漆,,味辛平有毒,主治疟及咳逆寒热，腹中癥坚痞结，结聚邪气，蛊毒鬼注,,川谷,
179,恒山,互草,味苦寒,主治伤寒寒热，热发温疟，鬼毒，胸中痰结，吐逆,,川谷,
180,青葙,草蒿/蒌蒿,味苦微寒,主治邪气，皮肤中热，风瘙身痒，杀三虫。子名草决明，疗唇口青,,平谷,
181,狼牙,牙子,味苦寒有毒,主治邪气热气，疥瘙恶疡疮痔，去白虫,,川谷,
182,白蔹,菟核/白草,味苦平,主治痈肿疽疮，散结气，止痛除热，目中赤，小儿惊痫，温疟，女子阴中肿痛,,山谷,
183,白及,甘根/连及草,味苦平,主治痈，主恶疮败疽，伤阴，死肌，胃中邪气，贼风鬼击，痱缓不收,,川谷,
184,草蒿,青蒿/方溃,味苦寒,主治疥瘙痂痒恶疮，杀虱，留热在骨节间，明目,,川泽,
185,雚菌,雚芦,味咸平,主治心痛，温中，去长虫，白徙*，蛲虫，蛇螫毒，癥瘕诸虫,,池泽,
186,连翘,异翘/蕳华/折根/三廉,味苦平,主治寒热鼠漏，瘰疬痈肿，恶疮瘿瘤，结热蛊毒,,山谷,
187,白头公,野丈人/胡王使者,味苦温无毒,主治温疟狂易，寒热，癥瘕积聚，瘿气，逐血止痛，疗金创,,川谷,
188,闾茹,,味酸咸有毒,主蚀恶肉，败疮，死肌，杀疥虫，排脓恶血，除大风热气，善忘不乐,,川谷,
189,羊桃,鬼桃/羊肠,味苦寒,主治熛热身暴赤色，风水积聚，恶疡，除小儿热,,川谷,
190,羊蹄,东方宿/连虫陆/鬼目,味苦寒,主治头秃疥瘙，除热，女子阴蚀,,川泽,
191,鹿藿,,味苦平,主治蛊毒，女子腰腹痛不乐，肠痈瘰疬疡气,,山谷,
192,牛扁,,味苦微寒,主治身皮疮热气，可作浴汤，杀牛虱小虫，又疗牛病,,川谷,
